Perm
1E-19
1.99E-19
2.98E-19
3.97E-19
4.96E-19
5.95E-19
6.94E-19
7.93E-19
8.92E-19
9.91E-19
1.09E-18
1.189E-18
1.288E-18
1.387E-18
1.486E-18
1.585E-18
1.684E-18
1.783E-18
1.882E-18
1.981E-18
2.08E-18
2.179E-18
2.278E-18
2.377E-18
2.476E-18
2.575E-18
2.674E-18
2.773E-18
2.872E-18
2.971E-18
3.07E-18
3.169E-18
3.268E-18
3.367E-18
3.466E-18
3.565E-18
3.664E-18
3.763E-18
3.862E-18
3.961E-18
4.06E-18
4.159E-18
4.258E-18
4.357E-18
4.456E-18
4.555E-18
4.654E-18
4.753E-18
4.852E-18
4.951E-18
5.05E-18
5.149E-18
5.248E-18
5.347E-18
5.446E-18
5.545E-18
5.644E-18
5.743E-18
5.842E-18
5.941E-18
6.04E-18
6.139E-18
6.238E-18
6.337E-18
6.436E-18
6.535E-18
6.634E-18
6.733E-18
6.832E-18
6.931E-18
7.03E-18
7.129E-18
7.228E-18
7.327E-18
7.426E-18
7.525E-18
7.624E-18
7.723E-18
7.822E-18
7.921E-18
8.02E-18
8.119E-18
8.218E-18
8.317E-18
8.416E-18
8.515E-18
8.614E-18
8.713E-18
8.812E-18
8.911E-18
9.01E-18
9.109E-18
9.208E-18
9.307E-18
9.406E-18
9.505E-18
9.604E-18
9.703E-18
9.802E-18
9.901E-18
1E-17
