Perm
1.00E-19
1.10E-18
2.10E-18
3.10E-18
4.10E-18
5.10E-18
6.09E-18
7.09E-18
8.09E-18
9.09E-18
1.01E-17
1.11E-17
1.21E-17
1.31E-17
1.41E-17
1.51E-17
1.61E-17
1.71E-17
1.81E-17
1.91E-17
2.01E-17
2.11E-17
2.21E-17
2.31E-17
2.41E-17
2.51E-17
2.61E-17
2.71E-17
2.81E-17
2.91E-17
3.01E-17
3.11E-17
3.21E-17
3.31E-17
3.41E-17
3.51E-17
3.61E-17
3.71E-17
3.81E-17
3.91E-17
4.01E-17
4.11E-17
4.21E-17
4.31E-17
4.41E-17
4.51E-17
4.61E-17
4.71E-17
4.81E-17
4.91E-17
5.01E-17
5.10E-17
5.20E-17
5.30E-17
5.40E-17
5.50E-17
5.60E-17
5.70E-17
5.80E-17
5.90E-17
6.00E-17
6.10E-17
6.20E-17
6.30E-17
6.40E-17
6.50E-17
6.60E-17
6.70E-17
6.80E-17
6.90E-17
7.00E-17
7.10E-17
7.20E-17
7.30E-17
7.40E-17
7.50E-17
7.60E-17
7.70E-17
7.80E-17
7.90E-17
8.00E-17
8.10E-17
8.20E-17
8.30E-17
8.40E-17
8.50E-17
8.60E-17
8.70E-17
8.80E-17
8.90E-17
9.00E-17
9.10E-17
9.20E-17
9.30E-17
9.40E-17
9.50E-17
9.60E-17
9.70E-17
9.80E-17
9.90E-17
1.00E-16
